Lake,Date_Sampled,Results,,,,,,,,,,,,,,
Kegonsa,1992-12-01,37.5,,,,,,,,,,,,,,
Kegonsa,1993-02-01,39.7,,,,,,,,,,,,,,
Kegonsa,1993-03-01,34.3,,,,,,,,,,,,,,
Kegonsa,1993-07-01,39.2,,,,,,,,,,,,,,
Kegonsa,1993-10-01,37.1,,,,,,,,,,,,,,
Kegonsa,1993-11-01,36.9,,,,,,,,,,,,,,
Kegonsa,1993-12-01,38.8,,,,,,,,,,,,,,
Kegonsa,1994-02-22,38.5,,,,,,,,,,,,,,
Kegonsa,1994-03-17,40.5,,,,,,,,,,,,,,
Kegonsa,1994-06-07,38.2,,,,,,,,,,,,,,
Kegonsa,1994-07-26,37.9,,,,,,,,,,,,,,
Kegonsa,1994-08-09,38.0,,,,,,,,,,,,,,
Kegonsa,1994-09-29,37.1,,,,,,,,,,,,,,
Kegonsa,1994-10-13,37.0,,,,,,,,,,,,,,
Kegonsa,1994-11-17,36.7,,,,,,,,,,,,,,
Kegonsa,1994-12-19,37.3,,,,,,,,,,,,,,
Kegonsa,1995-01-01,38.6,,,,,,,,,,,,,,
Kegonsa,1995-03-01,36.1,,,,,,,,,,,,,,
Kegonsa,1995-04-01,35.5,,,,,,,,,,,,,,
Kegonsa,1995-05-01,35.3,,,,,,,,,,,,,,
Kegonsa,1995-06-01,36.3,,,,,,,,,,,,,,
Kegonsa,1995-07-01,36.9,,,,,,,,,,,,,,
Kegonsa,1995-08-01,37.8,,,,,,,,,,,,,,
Kegonsa,1995-09-01,38.5,,,,,,,,,,,,,,
Kegonsa,1995-10-01,36.9,,,,,,,,,,,,,,
Kegonsa,1996-01-01,41.6,,,,,,,,,,,,,,
Kegonsa,1996-03-01,39.3,,,,,,,,,,,,,,
Kegonsa,1996-04-01,38.2,,,,,,,,,,,,,,
Kegonsa,1996-05-01,39.0,,,,,,,,,,,,,,
Kegonsa,1996-06-01,34.4,,,,,,,,,,,,,,
Kegonsa,1996-09-01,38.5,,,,,,,,,,,,,,
Kegonsa,1996-12-01,40.7,,,,,,,,,,,,,,
Kegonsa,1997-01-01,43.3,,,,,,,,,,,,,,
Kegonsa,1997-02-01,42.5,,,,,,,,,,,,,,
Kegonsa,1997-03-01,38.7,,,,,,,,,,,,,,
Kegonsa,1997-04-01,43.7,,,,,,,,,,,,,,
Kegonsa,1997-05-01,34.7,,,,,,,,,,,,,,
Kegonsa,1997-06-01,41.2,,,,,,,,,,,,,,
Kegonsa,1997-07-01,37.3,,,,,,,,,,,,,,
Kegonsa,1997-09-01,48.8,,,,,,,,,,,,,,
Kegonsa,1998-01-01,49.0,,,,,,,,,,,,,,
Kegonsa,1998-02-01,46.6,,,,,,,,,,,,,,
Kegonsa,1998-04-01,41.7,,,,,,,,,,,,,,
Kegonsa,1998-06-23,42.1,,,,,,,,,,,,,,
Kegonsa,1998-07-15,42.7,,,,,,,,,,,,,,
Kegonsa,1998-09-01,41.2,,,,,,,,,,,,,,
Kegonsa,1998-10-08,40.6,,,,,,,,,,,,,,
Kegonsa,1998-12-02,41.2,,,,,,,,,,,,,,
Kegonsa,1999-02-15,43.9,,,,,,,,,,,,,,
Kegonsa,1999-03-04,41.5,,,,,,,,,,,,,,
Kegonsa,1999-05-04,38.8,,,,,,,,,,,,,,
Kegonsa,1999-07-27,36.9,,,,,,,,,,,,,,
Kegonsa,1999-08-30,38.5,,,,,,,,,,,,,,
Kegonsa,1999-09-20,39.6,,,,,,,,,,,,,,
Kegonsa,1999-10-27,39.7,,,,,,,,,,,,,,
Kegonsa,1999-12-07,40.9,,,,,,,,,,,,,,
Kegonsa,2000-01-18,43.1,,,,,,,,,,,,,,
Kegonsa,2000-02-28,40.2,,,,,,,,,,,,,,
Kegonsa,2000-04-28,38.9,,,,,,,,,,,,,,
Kegonsa,2000-05-26,39.1,,,,,,,,,,,,,,
Kegonsa,2000-06-27,36.3,,,,,,,,,,,,,,
Kegonsa,2000-07-12,36.3,,,,,,,,,,,,,,
Kegonsa,2000-08-07,36.3,,,,,,,,,,,,,,
Kegonsa,2000-09-05,37.1,,,,,,,,,,,,,,
Kegonsa,2000-10-30,40.8,,,,,,,,,,,,,,
Kegonsa,2000-11-28,40.9,,,,,,,,,,,,,,
Kegonsa,2001-02-20,45.6,,,,,,,,,,,,,,
Kegonsa,2001-03-22,42.4,,,,,,,,,,,,,,
Kegonsa,2001-04-03,38.9,,,,,,,,,,,,,,
Kegonsa,2001-05-30,41.1,,,,,,,,,,,,,,
Kegonsa,2001-06-26,41.3,,,,,,,,,,,,,,
Kegonsa,2001-07-30,43.4,,,,,,,,,,,,,,
