Date,Lake,Chloride.mgL
9/10/2010,Kegonsa,54.4
10/10/2010,Kegonsa,55
11/2/2010,Kegonsa,54.74
11/10/2010,Kegonsa,54.5
12/10/2010,Kegonsa,56
1/11/2011,Kegonsa,57.3
2/11/2011,Kegonsa,56
3/3/2011,Kegonsa,59.33
3/11/2011,Kegonsa,54.8
4/11/2011,Kegonsa,52.8
5/11/2011,Kegonsa,52.5
5/20/2011,Kegonsa,54.59
6/11/2011,Kegonsa,50.5
8/10/2011,Kegonsa,58.19
8/11/2011,Kegonsa,56.6
9/11/2011,Kegonsa,57.4
10/11/2011,Kegonsa,59.3
11/7/2011,Kegonsa,61.06
11/11/2011,Kegonsa,58.3
12/11/2011,Kegonsa,57.5
1/12/2012,Kegonsa,59.9
2/12/2012,Kegonsa,61.2
4/12/2012,Kegonsa,59.6
5/12/2012,Kegonsa,58
6/12/2012,Kegonsa,59.2
8/8/2012,Kegonsa,64.15
8/12/2012,Kegonsa,63.4
10/12/2012,Kegonsa,62.8
11/7/2012,Kegonsa,64.79
11/12/2012,Kegonsa,62.4
12/12/2012,Kegonsa,64.2
2/13/2013,Kegonsa,66.1
3/13/2013,Kegonsa,71.7
5/13/2013,Kegonsa,62
6/13/2013,Kegonsa,65.4
7/13/2013,Kegonsa,60.2
8/8/2013,Kegonsa,63.72
8/13/2013,Kegonsa,61.9
9/13/2013,Kegonsa,63.2
10/13/2013,Kegonsa,64.5
11/8/2013,Kegonsa,65.11
2/14/2014,Kegonsa,72.6
3/14/2014,Kegonsa,71.2
4/14/2014,Kegonsa,62.1
5/2/2014,Kegonsa,63.41
6/14/2014,Kegonsa,63.1
7/14/2014,Kegonsa,64.9
8/6/2014,Kegonsa,65.94
8/14/2014,Kegonsa,64.5
9/14/2014,Kegonsa,65.1
10/14/2014,Kegonsa,65.5
11/7/2014,Kegonsa,66.58
12/13/2014,Kegonsa,65.9
12/14/2014,Kegonsa,68.2
1/15/2015,Kegonsa,70.2
2/9/2015,Kegonsa,75.93
2/15/2015,Kegonsa,70.8
4/15/2015,Kegonsa,62
4/17/2015,Kegonsa,63.55
6/15/2015,Kegonsa,62.2
7/15/2015,Kegonsa,62
8/5/2015,Kegonsa,65.14
8/15/2015,Kegonsa,64.9
9/15/2015,Kegonsa,64.2
10/15/2015,Kegonsa,65.4
11/3/2015,Kegonsa,69.3
2/16/2016,Kegonsa,66.7
2/17/2016,Kegonsa,70.26
3/16/2016,Kegonsa,59.8
4/14/2016,Kegonsa,64.13
4/16/2016,Kegonsa,61.4
6/16/2016,Kegonsa,62.1
7/16/2016,Kegonsa,60.8
8/3/2016,Kegonsa,66.55
8/16/2016,Kegonsa,65.8
9/16/2016,Kegonsa,61.3
10/16/2016,Kegonsa,63.8
11/15/2016,Kegonsa,64.64
12/16/2016,Kegonsa,60.4
1/17/2017,Kegonsa,66.6
3/17/2017,Kegonsa,62.3
4/17/2017,Kegonsa,61.2
4/25/2017,Kegonsa,67.38
5/17/2017,Kegonsa,64
6/17/2017,Kegonsa,60.1
7/17/2017,Kegonsa,60.8
8/9/2017,Kegonsa,64.54
8/17/2017,Kegonsa,60.4
10/17/2017,Kegonsa,65.6
11/6/2017,Kegonsa,66.88
12/17/2017,Kegonsa,64.8
1/18/2018,Kegonsa,67.9
2/18/2018,Kegonsa,62.6
4/18/2018,Kegonsa,56.5
4/26/2018,Kegonsa,65.73
5/18/2018,Kegonsa,63.2
6/18/2018,Kegonsa,56
7/18/2018,Kegonsa,57.1
8/9/2018,Kegonsa,63.09
8/18/2018,Kegonsa,56.9
9/18/2018,Kegonsa,53.7
11/1/2018,Kegonsa,57.32
11/18/2018,Kegonsa,55.7
12/18/2018,Kegonsa,57.9
2/19/2019,Kegonsa,62.9
4/19/2019,Kegonsa,63.5
6/19/2019,Kegonsa,61.9
8/19/2019,Kegonsa,64.1
9/19/2019,Kegonsa,65.5
10/19/2019,Kegonsa,60
12/19/2019,Kegonsa,62.6
3/6/2020,Kegonsa,67.04
5/18/2022,Kegonsa,73.4
8/12/2022,Kegonsa,69.07
11/7/2022,Kegonsa,67.28
2/2/2023,Kegonsa,79.8
4/10/2023,Kegonsa,67.6
7/3/2023,Kegonsa,72.7
8/30/2023,Kegonsa,70.8
3/12/2024,Kegonsa,78.8
4/10/2024,Kegonsa,81.5
6/27/2024,Kegonsa,72.8
7/17/2024,Kegonsa,70.3
8/28/2024,Kegonsa,67.9
9/18/2024,Kegonsa,69.1
10/29/2024,Kegonsa,70.1
1/31/1940,Mendota,6
3/11/1940,Mendota,3
5/28/1940,Mendota,1.28
6/25/1940,Mendota,2.93
7/30/1940,Mendota,3.17
8/27/1940,Mendota,2.23
9/11/1940,Mendota,0.81
10/30/1940,Mendota,2.88
3/7/1941,Mendota,1.8
5/19/1941,Mendota,1.35
6/17/1941,Mendota,11.9
7/8/1941,Mendota,5.73
7/29/1941,Mendota,1.14
8/20/1941,Mendota,3.18
9/10/1941,Mendota,1.04
10/2/1941,Mendota,3.18
2/2/1942,Mendota,3.75
4/28/1942,Mendota,1.59
6/17/1942,Mendota,2.61
7/17/1942,Mendota,2.12
8/10/1942,Mendota,1.25
9/15/1942,Mendota,1.63
10/1/1942,Mendota,2.5
11/12/1942,Mendota,2.87
12/15/1942,Mendota,5
1/14/1943,Mendota,2.25
